# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
    120.000     0.00003     360.000 5.110260E+11 2.557000E+02 3.707650E+10 1.022800E+05 1.789900E+07 7.722140E+01
    115.000     0.00004     300.000 9.681328E+11 4.844000E+03 9.106720E+10 2.325120E+05 3.875200E+07 1.501640E+02
    110.000     0.00007     240.000 2.142688E+12 1.072000E+05 2.572800E+11 6.003200E+05 1.286400E+08 3.408960E+02
    105.000     0.00014     208.800 5.029784E+12 1.006600E+06 7.046200E+11 1.711220E+06 5.536300E+08 8.254120E+02
    100.000     0.00032     195.100 1.187967E+13 4.756001E+06 1.902400E+12 4.756001E+06 2.318550E+09 2.021300E+03
     95.000     0.00076     188.400 2.921760E+13 2.046800E+07 5.263200E+12 1.578960E+07 7.894800E+09 5.146240E+03
     90.000     0.00184     186.900 7.130506E+13 4.995200E+07 1.355840E+13 6.065600E+07 2.212160E+10 1.305888E+04
     85.000     0.00446     188.900 1.710073E+14 8.555000E+07 3.422000E+13 2.275630E+08 5.475200E+10 3.285120E+04
     80.000     0.01050     198.600 3.829322E+14 1.149600E+08 8.008879E+13 7.855600E+08 1.256896E+11 7.740640E+04
     75.000     0.02400     208.400 8.341139E+14 2.086750E+08 1.744523E+14 2.358028E+09 2.754510E+11 1.794605E+05
     70.000     0.05220     219.600 1.721670E+15 5.169000E+08 3.601070E+14 6.030500E+09 5.685899E+11 3.980130E+05
     65.000     0.10900     233.300 3.383947E+15 2.370200E+09 7.076740E+14 1.422120E+10 1.117380E+12 8.566580E+05
     60.000     0.21900     247.000 6.421832E+15 7.068600E+09 1.343034E+15 3.052350E+10 2.120580E+12 1.831410E+06
     55.000     0.42500     260.800 1.180302E+16 2.125800E+10 2.468290E+15 6.023100E+10 3.897300E+12 4.003590E+06
     50.000     0.79780     270.700 2.134605E+16 6.621600E+10 4.464240E+15 1.116060E+11 7.048799E+12 9.462480E+06
     47.500     1.09000     270.600 2.917498E+16 1.197200E+11 6.102800E+15 1.533000E+11 9.636000E+12 1.944720E+07
     45.000     1.49100     264.200 4.087489E+16 2.147250E+11 8.548099E+15 2.137025E+11 1.349700E+13 4.703500E+07
     42.500     2.06000     257.300 5.798815E+16 3.597860E+11 1.212827E+16 2.988545E+11 1.914990E+13 1.259251E+08
     40.000     2.87100     250.400 8.304447E+16 6.066300E+11 1.736790E+16 4.175775E+11 2.742300E+13 3.348930E+08
     37.500     4.04116     243.435 1.202393E+17 9.656401E+11 2.587420E+16 6.128100E+11 4.085400E+13 7.749880E+08
     35.000     5.74600     236.500 1.759731E+17 1.380096E+12 3.680490E+16 8.628900E+11 5.811300E+13 1.282008E+09
     32.500     8.25725     229.588 2.605019E+17 1.860945E+12 5.275160E+16 1.217830E+12 8.329200E+13 1.819804E+09
     30.000    11.97000     226.500 3.827699E+17 2.509799E+12 8.004700E+16 1.809675E+12 1.263900E+14 2.359280E+09
     27.500    17.43000     224.000 5.635873E+17 3.272892E+12 1.178760E+17 2.580300E+12 1.861200E+14 2.712840E+09
     25.000    25.49000     221.600 8.331283E+17 4.266877E+12 1.742433E+17 3.689123E+12 2.751210E+14 3.118038E+09
     24.000    29.72000     220.600 9.757872E+17 4.518265E+12 2.040885E+17 4.198950E+12 3.222450E+14 2.988090E+09
     23.000    34.67000     219.600 1.143492E+18 4.768192E+12 2.390960E+17 4.804800E+12 3.775200E+14 2.951520E+09
     22.000    40.47000     218.600 1.340895E+18 4.894274E+12 2.804780E+17 5.455230E+12 4.428600E+14 2.898720E+09
     21.000    47.29000     217.600 1.574064E+18 4.769100E+12 3.291750E+17 6.260625E+12 5.197500E+14 2.772000E+09
     20.000    55.29000     216.700 1.847990E+18 4.768571E+12 3.864410E+17 7.211100E+12 6.101700E+14 2.570110E+09
     19.000    64.67000     216.700 2.161503E+18 4.390890E+12 4.520670E+17 8.327550E+12 7.137900E+14 2.292780E+09
     18.000    75.65000     216.700 2.528494E+18 4.015110E+12 5.287700E+17 9.677249E+12 8.349000E+14 1.950630E+09
     17.000    88.50000     216.700 2.957987E+18 3.513520E+12 6.186399E+17 1.139600E+13 9.768000E+14 1.536240E+09
     16.000   103.50000     216.700 3.459340E+18 3.012286E+12 7.235580E+17 1.367490E+13 1.142460E+15 1.104378E+09
     15.000   121.10000     216.700 4.047595E+18 2.634525E+12 8.464500E+17 2.025000E+13 1.336500E+15 6.925500E+08
     14.000   141.70000     216.700 4.736121E+18 2.383717E+12 9.904510E+17 2.808805E+13 1.563870E+15 3.544772E+08
     13.000   165.80000     216.700 5.541629E+18 2.132992E+12 1.159114E+18 6.017410E+13 1.830180E+15 2.467970E+08
     12.000   194.00000     216.700 6.484174E+18 2.008345E+12 1.356201E+18 1.236803E+14 2.141370E+15 2.044035E+08
     11.000   227.00000     216.800 7.583652E+18 1.630876E+12 1.586101E+18 2.741906E+14 2.504370E+15 1.988318E+08
     10.000   265.00000     223.300 8.595457E+18 1.129443E+12 1.797818E+18 6.017959E+14 2.838660E+15 2.047276E+08
      9.000   308.00000     229.700 9.711841E+18 8.910379E+11 2.031271E+18 1.538518E+15 3.207270E+15 2.254808E+08
      8.000   356.50000     236.200 1.093179E+19 6.526804E+11 2.286460E+18 4.011698E+15 3.610200E+15 2.516200E+08
      7.000   411.10001     242.700 1.226845E+19 6.151052E+11 2.566520E+18 7.024160E+15 4.052400E+15 2.824400E+08
      6.000   472.20001     249.200 1.372429E+19 5.645776E+11 2.869570E+18 1.270574E+16 4.530900E+15 3.157900E+08
